Ticker,Trailing Return 20D,Trailing Return 60D,Volatility 20D,Volatility 60D,Downside Volatility 60D,Max Drawdown 120D,Sharpe 60D,Nonzero Volume Rate,Median Dollar Volume,Prediction Date,Current Close,Predicted Return,Predicted Price,Predicted Return Score,Momentum Score,Sharpe Score,Liquidity Score,Volatility Risk,Downside Risk,Drawdown Risk,Liquidity Risk,Profitability Score,Risk Score,Risk Adjusted Score,Risk Flag
TMS,-0.020220588235294157,-0.08381463146314627,0.013117001567875085,0.015671700353190935,0.010851482975026612,-0.1941688730103034,-1.3540885725799483,0.9916666666666667,373726292.5,2023-02-28,53300.0,0.004841403104364872,53558.04678546265,0.8551090074709338,0.4395319039947341,0.1349086786428957,0.0009742195424246778,0.15851652859444673,0.19897168581396904,0.1600252298078423,0.9990257804575753,0.5217611870434253,0.2550811762499652,0.36871248129344625,Keep
LBM,0.002336448598130758,0.021428571428571352,0.018720477140858397,0.024617957658599043,0.012743728817370889,-0.1356673960612691,0.41716618515482523,0.9833333333333333,81286750.0,2023-02-28,42900.0,0.0007274551317095757,42931.20782515034,0.7753871753067156,0.4886906315611476,0.4266971017391992,0.00020909335040513485,0.36074726501294724,0.2582474204154587,0.05452545390423386,0.9997909066495949,0.5564572164611893,0.3173462230201871,0.366049482649077,Keep
TYA,-0.0546875,0.025423728813559254,0.01068818008378389,0.014754757231802763,0.011903485387056366,-0.28,0.5653002802133303,1.0,253497525.0,2023-02-28,12100.0,0.000944274477660656,12111.425721179694,0.7795887927366782,0.36441789243333483,0.45110003633410606,0.0006596581863848119,0.13778896886060008,0.2319262915951861,0.3148104614842304,0.9993403418136152,0.5322054029252986,0.296440676132185,0.3543409972459876,Keep
FMC,-0.0513833992094862,0.13207547169811318,0.01523332207605214,0.022111063947022724,0.014709989781987402,-0.41860465116279066,1.6579586426582695,1.0,1957701800.0,2023-02-28,36000.0,0.004992041736841202,36179.71350252628,0.8580281469096307,0.37161854524124965,0.6310995870303242,0.005118464667229227,0.3040787673263764,0.31984172306245684,0.5647658540568211,0.9948815353327708,0.6057490662924341,0.4430597025304511,0.3399132447741634,Keep
VIP,-0.009756097560975618,0.3096774193548386,0.033119388773277594,0.03163505399511405,0.021751013199496783,-0.3090185676392573,2.507589617754504,1.0,1707149895.0,2023-02-28,10150.0,0.004613108932971954,10196.823055669665,0.8506850259969755,0.46233725072439996,0.7710639153430712,0.0044629314813369935,0.5193691904962606,0.5404059996905382,0.36714165964615786,0.995537068518663,0.653051650596487,0.5352401383442584,0.3319075675899319,Keep
FPT,-0.0359281437125748,0.08344549125168244,0.008690178489018456,0.011714447657635527,0.007814131621546384,-0.2319347319347319,1.9023463799781617,1.0,79358977500.0,2023-02-28,80500.0,-0.01816963031888008,79037.34475933015,0.40919142254117,0.4053003049534195,0.6713589072581165,0.2076278203703684,0.06906257041994959,0.10382483507637205,0.22813102578296887,0.7923721796296316,0.44049577987054156,0.19158932457859934,0.32554218512338196,Keep
PAC,0.011272141706924366,0.04946524064171132,0.024578351915918655,0.03199428044959084,0.024481003638302842,-0.25034327616933005,0.650339159273778,0.925,51350400.0,2023-02-28,31400.0,0.00866736751049757,31672.155339829624,0.9292501716955063,0.5081642577468956,0.46510895307212435,0.00013076917685919846,0.52748952819166,0.6259245856448837,0.2613284319468115,0.9998692308231408,0.6382385092318125,0.537717741629563,0.31560786425407467,Keep
TDH,0.05624999999999991,0.07643312101910826,0.030558298742756392,0.028697702988820833,0.01777285457731266,-0.5950819672131147,0.9025624518827826,1.0,306006415.0,2023-02-28,3380.0,0.00866736751049757,3409.295702185482,0.9292501716955063,0.6061848576456254,0.5066590669093114,0.0007970401789478493,0.4529701772727969,0.41578779765021856,0.8830196532147381,0.9992029598210521,0.6711203090741412,0.6039511106263342,0.3087496426983407,Keep
PJT,-0.022222222222222254,0.09725685785536164,0.027808413849873308,0.030826628175657497,0.0216910604362439,-0.31214953271028034,1.0368287469893231,0.925,6759250.0,2023-02-27,8800.0,0.006135670468211174,8853.993900120258,0.8801898704867056,0.43516972732331655,0.5287774834459724,1.4102817359363572e-05,0.5010946715295864,0.5385279434656656,0.37278794638252055,0.9999858971826406,0.6106347805207771,0.5301370943889491,0.2925525238874077,Keep
BMC,-0.07638888888888884,0.11764705882352944,0.022936966395011412,0.027632764024549637,0.016822390621591243,-0.547242206235012,1.2803446346648568,1.0,636652500.0,2023-02-28,13300.0,0.00866736751049757,13415.275987889618,0.9292501716955063,0.31712388515393536,0.568893179143305,0.0016621283190793095,0.42889716174985537,0.38601394484162865,0.7967468901036634,0.9983378716809207,0.6113883972120306,0.5649386997589458,0.27242517735666316,Keep
